Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
MUSC,3170,001,Hist of Country Mus,0.75,0.19,0.06,0.0,0.0,0.0,0.0,0.0,Ned Hosler,,MUSC-3170,2018
MUSC,3180,001,Hist of Audio Tech,0.42,0.37,0.21,0.0,0.0,0.0,0.0,0.0,Bruce Whisler,,MUSC-3180,2018
MUSC,3690,001,Symphony Orchestra,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.04,Andrew Levin,,MUSC-3690,2018
MUSC,3700,001,Clemson University Singers,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.04,David Hartmann,,MUSC-3700,2018
MUSC,3710,001,Women's Chorus,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.03,David Hartmann,,MUSC-3710,2018
NPL,3000,001,Nonprofit Leadership,0.62,0.27,0.08,0.04,0.0,0.0,0.0,0.0,Corey Brookover,,NPL-3000,2018
NPL,3000,002,Nonprofit Leadership,0.63,0.17,0.13,0.0,0.04,0.0,0.0,0.04,Christina Mazer,,NPL-3000,2018
NPL,3000,003,Nonprofit Leadership,0.58,0.25,0.13,0.04,0.0,0.0,0.0,0.0,Christina Mazer,,NPL-3000,2018
NPL,3000,004,Nonprofit Leadership,0.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,Corey Brookover,,NPL-3000,2018
NPL,3000,005,Nonprofit Leadership,0.61,0.3,0.04,0.0,0.04,0.0,0.0,0.0,Corey Brookover,,NPL-3000,2018
NPL,3010,002,NPL Stakeholders,0.54,0.31,0.12,0.0,0.0,0.0,0.0,0.04,Christina Mazer,,NPL-3010,2018
NPL,3010,003,NPL Stakeholders,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,Christina Mazer,,NPL-3010,2018
NPL,3020,001,NPL Fundraising,0.88,0.08,0.04,0.0,0.0,0.0,0.0,0.0,Thomas ORourke,,NPL-3020,2018
NPL,3030,002,NPL Personnel,0.48,0.43,0.09,0.0,0.0,0.0,0.0,0.0,Bonnie Stevens,,NPL-3030,2018
NPL,3030,003,NPL Personnel,0.46,0.46,0.08,0.0,0.0,0.0,0.0,0.0,Bonnie Stevens,,NPL-3030,2018
NPL,3040,001,NPL Risk Management,0.71,0.06,0.06,0.12,0.06,0.0,0.0,0.0,Daniel Anderson,,NPL-3040,2018
NURS,1400,001,Comp App Hlth Care,0.91,0.09,0.0,0.0,0.0,0.0,0.0,0.0,Nancy Meehan,,NURS-1400,2018
NURS,1400,002,Comp App Hlth Care,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Janice Lanham,,NURS-1400,2018
NURS,1400,003,Comp App Hlth Care,0.91,0.03,0.03,0.0,0.0,0.0,0.0,0.03,Jenna Seawright,,NURS-1400,2018
NURS,3030,001,Nursing of Adults,0.41,0.56,0.02,0.02,0.0,0.0,0.0,0.0,Lena Burgess,,NURS-3030,2018
NURS,3030,400,Nursing of Adults,0.54,0.42,0.04,0.0,0.0,0.0,0.0,0.0,Lena Burgess,,NURS-3030,2018
NURS,3040,001,Pathophysiology,0.41,0.43,0.09,0.0,0.07,0.0,0.0,0.0,Catherine Murton,,NURS-3040,2018
NURS,3040,401,Pathophysiology,0.69,0.31,0.0,0.0,0.0,0.0,0.0,0.0,Elizabeth Hassen,,NURS-3040,2018
NURS,3100,001,Health Assessment,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,Tiffany Stewart,,NURS-3100,2018
NURS,3100,002,Health Assessment,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Tiffany Stewart,,NURS-3100,2018
NURS,3120,001,Foundations of Nursing,0.32,0.64,0.04,0.0,0.0,0.0,0.0,0.0,Jennifer Bagwell,,NURS-3120,2018
NURS,3190,400,Health Assessment for RNs,0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,Jennifer Rice,,NURS-3190,2018
NURS,3200,002,Prof in Nurs,0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,Deborah Willoughby,,NURS-3200,2018
NURS,3230,402,Gerontology Nurs,0.91,0.09,0.0,0.0,0.0,0.0,0.0,0.0,Terri Teramano,,NURS-3230,2018
NURS,3330,400,Health Care Genetics,0.86,0.1,0.0,0.0,0.0,0.0,0.0,0.05,Mary Steck,,NURS-3330,2018
NURS,3400,001,Pharmther Nursing,0.37,0.5,0.07,0.04,0.02,0.0,0.0,0.0,Catherine Murton,,NURS-3400,2018
NURS,4010,001,Mental Health Nurs,0.96,0.02,0.02,0.0,0.0,0.0,0.0,0.0,Lindsey Garrard,,NURS-4010,2018
NURS,4030,001,Complex Nursing of Adults,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Nancy Ewing,,NURS-4030,2018
NURS,4060,400,Issues in Professionalism,0.17,0.83,0.0,0.0,0.0,0.0,0.0,0.0,Shirley Timmons,,NURS-4060,2018
NURS,4110,001,Nursing of Children,0.89,0.11,0.0,0.0,0.0,0.0,0.0,0.0,Terry Busby,,NURS-4110,2018
NURS,4120,001,Nurs Women and Fam,0.74,0.24,0.0,0.02,0.0,0.0,0.0,0.0,Lisa Miller,,NURS-4120,2018
NURS,4250,400,Community Nursing,0.73,0.23,0.0,0.0,0.05,0.0,0.0,0.0,Tiffany Stewart,,NURS-4250,2018
NURS,8010,400,Adv Fam & Comm Nrsng,0.93,0.07,0.0,0.0,0.0,0.0,0.0,0.0,Shirley Timmons,,NURS-8010,2018
NURS,8010,401,Adv Fam & Comm Nrsng,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,Jennifer Rice,,NURS-8010,2018
