Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch History I,0.31,0.44,0.23,0.02,0.0,0.0,0.0,0.01,Beth Lauritis,,AAH-1010,2016
AAH,2050,001,Art History and Theory I,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06,Beth Lauritis,,AAH-2050,2016
ACCT,2010,001,Financial Accounting Concepts,0.03,0.25,0.35,0.15,0.08,0.0,0.0,0.15,Philip Maiberger,,ACCT-2010,2016
ACCT,2010,002,Financial Accounting Concepts,0.18,0.38,0.28,0.05,0.03,0.0,0.0,0.08,Philip Maiberger,,ACCT-2010,2016
ACCT,2010,003,Financial Accounting Concepts,0.24,0.44,0.2,0.04,0.04,0.0,0.0,0.04,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,004,Financial Accounting Concepts,0.2,0.33,0.2,0.1,0.08,0.0,0.0,0.1,Annieka Philo,,ACCT-2010,2016
ACCT,2010,005,Financial Accounting Concepts,0.24,0.43,0.2,0.06,0.04,0.0,0.0,0.02,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,006,Financial Accounting Concepts,0.12,0.52,0.21,0.03,0.09,0.0,0.0,0.03,The Guffey,,ACCT-2010,2016
ACCT,2010,007,Financial Accounting Concepts,0.26,0.36,0.16,0.08,0.04,0.0,0.0,0.1,Annieka Philo,,ACCT-2010,2016
ACCT,2010,009,Financial Accounting Concepts,0.32,0.15,0.23,0.04,0.11,0.0,0.0,0.15,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,010,Financial Accounting Concepts,0.17,0.26,0.26,0.13,0.11,0.0,0.0,0.07,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,011,Financial Accounting Concepts,0.13,0.33,0.29,0.06,0.1,0.0,0.0,0.08,Annieka Philo,,ACCT-2010,2016
ACCT,2010,012,Financial Accounting Concepts,0.07,0.29,0.29,0.09,0.16,0.0,0.0,0.11,Annieka Philo,,ACCT-2010,2016
ACCT,2010,013,Financial Accounting Concepts,0.09,0.33,0.24,0.04,0.04,0.0,0.0,0.24,Mary Prater,,ACCT-2010,2016
ACCT,2010,014,Financial Accounting Concepts,0.19,0.19,0.14,0.07,0.12,0.0,0.0,0.29,Mary Prater,,ACCT-2010,2016
ACCT,2010,015,Financial Accounting Concepts,0.15,0.33,0.11,0.19,0.15,0.0,0.0,0.07,Charles Tegen,,ACCT-2010,2016
ACCT,2010,100,Fin Accounting Concepts (HON),0.79,0.14,0.0,0.0,0.0,0.0,0.0,0.07,The Guffey,True,ACCT-2010,2016
ACCT,2010,101,Fin Accounting Concepts (HON),0.82,0.18,0.0,0.0,0.0,0.0,0.0,0.0,The Guffey,True,ACCT-2010,2016
ACCT,2010,400,Financial Accounting Concepts,0.23,0.35,0.16,0.05,0.1,0.0,0.0,0.11,Jeffrey McMillan,,ACCT-2010,2016
ACCT,2020,001,Managerial Accounting Concepts,0.15,0.27,0.33,0.12,0.06,0.0,0.0,0.06,Henry Anderson,,ACCT-2020,2016
ACCT,2020,002,Managerial Accounting Concepts,0.19,0.21,0.17,0.17,0.1,0.0,0.0,0.17,Henry Anderson,,ACCT-2020,2016
ACCT,2020,003,Managerial Accounting Concepts,0.44,0.24,0.2,0.06,0.03,0.0,0.0,0.03,Sarah Martin,,ACCT-2020,2016
ACCT,2020,004,Managerial Accounting Concepts,0.18,0.32,0.2,0.08,0.08,0.0,0.0,0.14,The Guffey,,ACCT-2020,2016
ACCT,2020,005,Managerial Accounting Concepts,0.1,0.45,0.19,0.06,0.1,0.0,0.0,0.1,Brian Carver,,ACCT-2020,2016
ACCT,2020,007,Managerial Accounting Concepts,0.23,0.42,0.23,0.07,0.02,0.0,0.0,0.02,Derek Dalton,,ACCT-2020,2016
ACCT,2020,008,Managerial Accounting Concepts,0.23,0.34,0.32,0.07,0.02,0.0,0.0,0.02,Nancy Harp,,ACCT-2020,2016
ACCT,2020,400,Managerial Accounting Concepts,0.12,0.24,0.25,0.1,0.06,0.0,0.0,0.24,Henry Anderson,,ACCT-2020,2016
ACCT,3030,001,Cost Accounting,0.35,0.4,0.17,0.04,0.04,0.0,0.0,0.0,Robin Radtke,,ACCT-3030,2016
ACCT,3030,002,Cost Accounting,0.4,0.36,0.14,0.05,0.02,0.0,0.0,0.02,Robin Radtke,,ACCT-3030,2016
ACCT,3030,003,Cost Accounting,0.44,0.23,0.17,0.02,0.06,0.0,0.0,0.08,Jace Garrett,,ACCT-3030,2016
ACCT,3030,004,Cost Accounting,0.31,0.31,0.12,0.12,0.0,0.0,0.0,0.15,Jace Garrett,,ACCT-3030,2016
ACCT,3110,001,Intermediate Financial Acct I,0.41,0.32,0.08,0.08,0.08,0.0,0.0,0.03,Terry Knause,,ACCT-3110,2016
ACCT,3110,002,Intermediate Financial Acct I,0.41,0.24,0.15,0.05,0.02,0.0,0.0,0.12,Terry Knause,,ACCT-3110,2016
ACCT,3110,003,Intermediate Financial Acct I,0.39,0.24,0.24,0.06,0.03,0.0,0.0,0.03,Terry Knause,,ACCT-3110,2016
ACCT,3110,004,Intermediate Financial Acct I,0.31,0.45,0.21,0.02,0.0,0.0,0.0,0.0,Terry Knause,,ACCT-3110,2016
ACCT,3110,005,Intermediate Financial Acct I,0.26,0.16,0.21,0.03,0.26,0.0,0.0,0.08,Henry Anderson,,ACCT-3110,2016
ACCT,3110,400,Intermediate Financial Acct I,0.16,0.24,0.12,0.04,0.28,0.0,0.0,0.16,Henry Anderson,,ACCT-3110,2016
ACCT,3120,001,Intermediate Financial Acct II,0.06,0.31,0.29,0.2,0.06,0.0,0.0,0.09,Brian Carver,,ACCT-3120,2016
ACCT,3120,002,Intermediate Financial Acct II,0.21,0.31,0.23,0.18,0.05,0.0,0.0,0.03,Brian Carver,,ACCT-3120,2016
ACCT,3120,003,Intermediate Financial Acct II,0.08,0.49,0.26,0.13,0.03,0.0,0.0,0.03,Jeremy Vinson,,ACCT-3120,2016
ACCT,3120,004,Intermediate Financial Acct II,0.35,0.28,0.23,0.1,0.05,0.0,0.0,0.0,Jeremy Vinson,,ACCT-3120,2016
ACCT,3120,005,Intermediate Financial Acct II,0.13,0.58,0.24,0.0,0.0,0.0,0.0,0.05,Jeremy Vinson,,ACCT-3120,2016
ACCT,3130,001,Intermediate Fin Acct III,0.31,0.47,0.14,0.0,0.06,0.0,0.0,0.03,J Madray,,ACCT-3130,2016
ACCT,3130,002,Intermediate Fin Acct III,0.63,0.21,0.12,0.02,0.0,0.0,0.0,0.02,J Madray,,ACCT-3130,2016
ACCT,3130,003,Intermediate Fin Acct III,0.52,0.33,0.12,0.0,0.02,0.0,0.0,0.0,J Madray,,ACCT-3130,2016
ACCT,3130,004,Intermediate Fin Acct III,0.56,0.34,0.05,0.0,0.05,0.0,0.0,0.0,J Madray,,ACCT-3130,2016
ACCT,3220,002,Accounting Information Systems,0.23,0.5,0.19,0.04,0.04,0.0,0.0,0.0,Nancy Harp,,ACCT-3220,2016
ACCT,3220,003,Accounting Information Systems,0.12,0.38,0.24,0.14,0.05,0.0,0.0,0.07,Nancy Harp,,ACCT-3220,2016
ACCT,4040,001,Individual Taxation,0.74,0.12,0.03,0.06,0.06,0.0,0.0,0.0,Sarah Martin,,ACCT-4040,2016
ACCT,4040,002,Individual Taxation,0.82,0.08,0.05,0.05,0.0,0.0,0.0,0.0,Sarah Martin,,ACCT-4040,2016
ACCT,4040,003,Individual Taxation,0.21,0.44,0.26,0.05,0.0,0.0,0.0,0.05,Derek Dalton,,ACCT-4040,2016
ACCT,4080,001,Retire & Estate Plan,0.27,0.5,0.18,0.0,0.05,0.0,0.0,0.0,John Hine,,ACCT-4080,2016
ACCT,4100,001,Reporting and Mgmt Control Sys,0.31,0.44,0.21,0.03,0.03,0.0,0.0,0.0,Sally Widener,,ACCT-4100,2016
ACCT,4100,002,Reporting and Mgmt Control Sys,0.08,0.44,0.32,0.04,0.04,0.0,0.0,0.08,Sally Widener,,ACCT-4100,2016
ACCT,4150,001,Auditing,0.52,0.28,0.2,0.0,0.0,0.0,0.0,0.0,Carl Hollingsworth,,ACCT-4150,2016
ACCT,4150,002,Auditing,0.06,0.44,0.38,0.06,0.0,0.0,0.0,0.06,Carl Hollingsworth,,ACCT-4150,2016
ACCT,8510,001,Tax Research,0.53,0.47,0.0,0.0,0.0,0.0,0.0,0.0,Thomas Dickens,,ACCT-8510,2016
ACCT,8510,002,Tax Research,0.22,0.68,0.08,0.0,0.0,0.0,0.0,0.03,Thomas Dickens,,ACCT-8510,2016
ACCT,8510,003,Tax Research,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,Thomas Dickens,,ACCT-8510,2016
ACCT,8530,001,Adv Acct Problems,0.56,0.38,0.03,0.0,0.0,0.0,0.0,0.03,Ralph Welton,,ACCT-8530,2016
ACCT,8530,002,Adv Acct Problems,0.64,0.28,0.08,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8530,2016
ACCT,8530,003,Adv Acct Problems,0.62,0.32,0.03,0.0,0.03,0.0,0.0,0.0,Suzanne Pearse,,ACCT-8530,2016
ACCT,8550,001,Gov't and Nonprofit Accounting,0.6,0.37,0.04,0.0,0.0,0.0,0.0,0.0,James Barnes,,ACCT-8550,2016
ACCT,8550,002,Gov't and Nonprofit Accounting,0.65,0.33,0.0,0.0,0.0,0.0,0.0,0.02,James Barnes,,ACCT-8550,2016
ACCT,8630,001,Forensics Analysis,0.44,0.56,0.0,0.0,0.0,0.0,0.0,0.0,Philip Maiberger,,ACCT-8630,2016
ACCT,8630,002,Forensics Analysis,0.44,0.49,0.05,0.0,0.0,0.0,0.0,0.03,Philip Maiberger,,ACCT-8630,2016
ACCT,8650,001,Tax & Bus Decisions,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Judson Jahn,,ACCT-8650,2016
ACCT,8720,001,Tax of Flowthroughs,0.17,0.43,0.33,0.0,0.07,0.0,0.0,0.0,Thomas Dickens,,ACCT-8720,2016
AGED,1020,001,Freshman Seminar,0.68,0.21,0.07,0.0,0.0,0.0,0.0,0.04,Catheri DiBenedetto,,AGED-1020,2016
AGED,2010,001,Intro to Agric Educ,0.43,0.24,0.24,0.05,0.05,0.0,0.0,0.0,Philip Fravel,,AGED-2010,2016
AGED,2040,001,App Ag Calculations,0.69,0.23,0.08,0.0,0.0,0.0,0.0,0.0,Philip Fravel,,AGED-2040,2016
AGED,3030,001,Ag Ed Mech Tech,0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,Alex Byrd,,AGED-3030,2016
AGED,3650,001,Multiculturalism in Agric Educ,0.9,0.03,0.03,0.0,0.03,0.0,0.0,0.0,Alex Byrd,,AGED-3650,2016
