Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,001,Survey of Art & Arch Hist II,0.46,0.42,0.11,0.0,0.0,0.0,0.0,0.01,Beth Lauritis,,AAH-1020,2019
AAH,2060,001,Art History and Theory II,0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-2060,2019
ACCT,2010,001,Financial Accounting Concepts,0.61,0.2,0.1,0.05,0.0,0.0,0.02,0.02,Emily McCorkle,,ACCT-2010,2019
ACCT,2010,002,Financial Accounting Concepts,0.31,0.43,0.19,0.05,0.02,0.0,0.0,0.0,Emily McCorkle,,ACCT-2010,2019
ACCT,2010,003,Financial Accounting Concepts,0.18,0.52,0.2,0.05,0.02,0.0,0.0,0.02,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,004,Financial Accounting Concepts,0.45,0.33,0.1,0.03,0.03,0.0,0.0,0.08,Annieka Philo,,ACCT-2010,2019
ACCT,2010,005,Financial Accounting Concepts,0.3,0.43,0.15,0.08,0.03,0.0,0.0,0.03,Annieka Philo,,ACCT-2010,2019
ACCT,2010,006,Financial Accounting Concepts,0.2,0.43,0.25,0.05,0.03,0.0,0.0,0.05,Annieka Philo,,ACCT-2010,2019
ACCT,2010,007,Financial Accounting Concepts,0.16,0.48,0.23,0.02,0.07,0.0,0.0,0.05,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,008,Financial Accounting Concepts,0.07,0.4,0.37,0.07,0.02,0.0,0.0,0.07,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,009,Financial Accounting Concepts,0.35,0.33,0.2,0.03,0.1,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2019
ACCT,2010,010,Financial Accounting Concepts,0.16,0.25,0.25,0.09,0.09,0.0,0.0,0.16,Mary Prater,,ACCT-2010,2019
ACCT,2010,011,Financial Accounting Concepts,0.31,0.4,0.11,0.03,0.06,0.0,0.0,0.09,Charles Tegen,,ACCT-2010,2019
ACCT,2010,012,Financial Accounting Concepts,0.3,0.38,0.13,0.0,0.08,0.0,0.0,0.13,Lisa Birtwistle,,ACCT-2010,2019
ACCT,2010,013,Financial Accounting Concepts,0.41,0.31,0.21,0.03,0.0,0.0,0.05,0.0,Lisa Birtwistle,,ACCT-2010,2019
ACCT,2010,014,Financial Accounting Concepts,0.46,0.36,0.13,0.0,0.05,0.0,0.0,0.0,Lisa Birtwistle,,ACCT-2010,2019
ACCT,2010,015,Financial Accounting Concepts,0.34,0.39,0.15,0.07,0.05,0.0,0.0,0.0,James Barnes,,ACCT-2010,2019
ACCT,2010,016,Financial Accounting Concepts,0.37,0.33,0.14,0.05,0.07,0.0,0.0,0.05,James Barnes,,ACCT-2010,2019
ACCT,2010,017,Financial Accounting Concepts,0.0,0.34,0.41,0.07,0.07,0.0,0.0,0.1,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,101,Fin Acct Concepts (HON),0.73,0.18,0.0,0.0,0.0,0.0,0.0,0.09,Mary Prater,True,ACCT-2010,2019
ACCT,2010,401,Financial Accounting Concepts,0.29,0.36,0.18,0.06,0.08,0.0,0.0,0.03,Jeffrey McMillan,,ACCT-2010,2019
ACCT,2020,001,Managerial Accounting Concepts,0.25,0.25,0.29,0.04,0.07,0.0,0.0,0.11,Henry Anderson,,ACCT-2020,2019
ACCT,2020,002,Managerial Accounting Concepts,0.34,0.26,0.26,0.06,0.03,0.0,0.0,0.06,Henry Anderson,,ACCT-2020,2019
ACCT,2020,003,Managerial Accounting Concepts,0.41,0.31,0.13,0.05,0.0,0.0,0.03,0.08,Henry Anderson,,ACCT-2020,2019
ACCT,2020,004,Managerial Accounting Concepts,0.29,0.36,0.24,0.05,0.05,0.0,0.0,0.02,Emily McCorkle,,ACCT-2020,2019
ACCT,2020,005,Managerial Accounting Concepts,0.33,0.4,0.14,0.05,0.0,0.0,0.05,0.02,Emily McCorkle,,ACCT-2020,2019
ACCT,2020,006,Managerial Accounting Concepts,0.31,0.27,0.25,0.1,0.02,0.0,0.0,0.04,Phebia Davis-Culler,,ACCT-2020,2019
ACCT,2020,007,Managerial Accounting Concepts,0.23,0.38,0.17,0.09,0.0,0.0,0.13,0.0,Phebia Davis-Culler,,ACCT-2020,2019
ACCT,2020,008,Managerial Accounting Concepts,0.16,0.23,0.37,0.09,0.0,0.0,0.09,0.05,Phebia Davis-Culler,,ACCT-2020,2019
ACCT,2020,401,Managerial Accounting Concepts,0.28,0.35,0.22,0.04,0.01,0.0,0.0,0.11,Henry Anderson,,ACCT-2020,2019
ACCT,2900,001,Special Topics - Soft Skills,0.91,0.09,0.0,0.0,0.0,0.0,0.0,0.0,Michael Mendonca,,ACCT-2900,2019
ACCT,3030,001,Cost Accounting,0.38,0.31,0.28,0.03,0.0,0.0,0.0,0.0,Babak Mammadov,,ACCT-3030,2019
ACCT,3030,002,Cost Accounting,0.29,0.37,0.29,0.05,0.0,0.0,0.0,0.0,Babak Mammadov,,ACCT-3030,2019
ACCT,3030,003,Cost Accounting,0.12,0.36,0.36,0.06,0.03,0.0,0.0,0.06,Jace Garrett,,ACCT-3030,2019
ACCT,3030,004,Cost Accounting,0.33,0.25,0.33,0.03,0.03,0.0,0.0,0.03,Jace Garrett,,ACCT-3030,2019
ACCT,3030,005,Cost Accounting,0.28,0.44,0.08,0.11,0.0,0.0,0.0,0.08,Jace Garrett,,ACCT-3030,2019
ACCT,3110,001,Intermediate Financial Acct I,0.14,0.29,0.18,0.11,0.21,0.0,0.0,0.07,Erin Hawkins,,ACCT-3110,2019
ACCT,3110,002,Intermediate Financial Acct I,0.19,0.31,0.23,0.08,0.15,0.0,0.0,0.04,Erin Hawkins,,ACCT-3110,2019
ACCT,3110,003,Intermediate Financial Acct I,0.23,0.26,0.32,0.03,0.03,0.0,0.0,0.13,Amy Donnelly,,ACCT-3110,2019
ACCT,3110,004,Intermediate Financial Acct I,0.28,0.38,0.22,0.09,0.0,0.0,0.0,0.03,Amy Donnelly,,ACCT-3110,2019
ACCT,3110,005,Intermediate Financial Acct I,0.1,0.42,0.35,0.03,0.0,0.0,0.0,0.1,Brian Goodson,,ACCT-3110,2019
ACCT,3110,006,Intermediate Financial Acct I,0.17,0.23,0.37,0.07,0.0,0.0,0.0,0.17,Brian Goodson,,ACCT-3110,2019
ACCT,3110,401,Intermediate Financial Acct I,0.32,0.22,0.2,0.02,0.05,0.0,0.0,0.2,Henry Anderson,,ACCT-3110,2019
ACCT,3120,001,Intermediate Financial Acct II,0.16,0.21,0.32,0.11,0.05,0.0,0.0,0.16,Jeremy Vinson,,ACCT-3120,2019
ACCT,3120,002,Intermediate Financial Acct II,0.35,0.26,0.29,0.06,0.0,0.0,0.0,0.03,Jeremy Vinson,,ACCT-3120,2019
ACCT,3120,003,Intermediate Financial Acct II,0.41,0.45,0.1,0.0,0.0,0.0,0.0,0.03,Terry Knause,,ACCT-3120,2019
ACCT,3120,004,Intermediate Financial Acct II,0.29,0.53,0.12,0.0,0.03,0.0,0.0,0.03,Terry Knause,,ACCT-3120,2019
ACCT,3120,005,Intermediate Financial Acct II,0.14,0.48,0.29,0.0,0.0,0.0,0.0,0.1,Terry Knause,,ACCT-3120,2019
ACCT,3120,006,Intermediate Financial Acct II,0.32,0.42,0.16,0.0,0.03,0.0,0.0,0.06,Terry Knause,,ACCT-3120,2019
ACCT,3120,101,Intermed Fin Acct II (HON),0.67,0.25,0.08,0.0,0.0,0.0,0.0,0.0,Terry Knause,True,ACCT-3120,2019
ACCT,3130,001,Intermediate Fin Acct III,0.24,0.5,0.24,0.0,0.0,0.0,0.0,0.02,J Madray,,ACCT-3130,2019
ACCT,3130,002,Intermediate Fin Acct III,0.22,0.44,0.2,0.1,0.02,0.0,0.0,0.02,J Madray,,ACCT-3130,2019
ACCT,3130,003,Intermediate Fin Acct III,0.38,0.43,0.17,0.02,0.0,0.0,0.0,0.0,J Madray,,ACCT-3130,2019
ACCT,3130,004,Intermediate Fin Acct III,0.45,0.42,0.09,0.03,0.0,0.0,0.0,0.0,J Madray,,ACCT-3130,2019
ACCT,3130,101,Intermed Fin Acct III (HON),0.78,0.22,0.0,0.0,0.0,0.0,0.0,0.0,J Madray,True,ACCT-3130,2019
ACCT,3220,001,Accounting Information Systems,0.08,0.25,0.38,0.08,0.04,0.0,0.0,0.17,Philip Maiberger,,ACCT-3220,2019
ACCT,3220,002,Accounting Information Systems,0.04,0.48,0.3,0.09,0.04,0.0,0.0,0.04,Philip Maiberger,,ACCT-3220,2019
ACCT,3220,003,Accounting Information Systems,0.21,0.38,0.25,0.08,0.04,0.0,0.0,0.04,Philip Maiberger,,ACCT-3220,2019
ACCT,3220,004,Accounting Information Systems,0.1,0.38,0.29,0.0,0.0,0.0,0.1,0.14,Philip Maiberger,,ACCT-3220,2019
ACCT,4040,001,Individual Taxation,0.45,0.36,0.12,0.06,0.0,0.0,0.0,0.0,Sarah Martin,,ACCT-4040,2019
ACCT,4040,002,Individual Taxation,0.38,0.35,0.18,0.05,0.03,0.0,0.0,0.03,Sarah Martin,,ACCT-4040,2019
ACCT,4040,003,Individual Taxation,0.24,0.53,0.16,0.05,0.0,0.0,0.0,0.03,Lisa Birtwistle,,ACCT-4040,2019
ACCT,4040,004,Individual Taxation,0.27,0.27,0.27,0.16,0.03,0.0,0.0,0.0,Lisa Birtwistle,,ACCT-4040,2019
ACCT,4040,101,Individual Taxation (HON),0.88,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Sarah Martin,True,ACCT-4040,2019
ACCT,4100,001,Reporting and Mgmt Control Sys,0.62,0.31,0.07,0.0,0.0,0.0,0.0,0.0,Frances Kennedy,,ACCT-4100,2019
ACCT,4100,002,Reporting and Mgmt Control Sys,0.79,0.18,0.04,0.0,0.0,0.0,0.0,0.0,Frances Kennedy,,ACCT-4100,2019
ACCT,4100,003,Reporting and Mgmt Control Sys,0.33,0.5,0.13,0.03,0.0,0.0,0.0,0.0,Gregory McPhee,,ACCT-4100,2019
ACCT,4150,001,Auditing,0.08,0.42,0.44,0.06,0.0,0.0,0.0,0.0,Carl Hollingsworth,,ACCT-4150,2019
ACCT,4150,002,Auditing,0.26,0.31,0.28,0.15,0.0,0.0,0.0,0.0,Carl Hollingsworth,,ACCT-4150,2019
ACCT,8520,001,Fin Acct Theory/Res,0.13,0.52,0.32,0.0,0.03,0.0,0.0,0.0,Ralph Welton,,ACCT-8520,2019
ACCT,8520,002,Fin Acct Theory/Res,0.28,0.59,0.14,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8520,2019
ACCT,8540,001,Prof Responsibility,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Robin Radtke,,ACCT-8540,2019
ACCT,8540,002,Prof Responsibility,0.58,0.39,0.03,0.0,0.0,0.0,0.0,0.0,Robin Radtke,,ACCT-8540,2019
ACCT,8540,003,Prof Responsibility,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Robin Radtke,,ACCT-8540,2019
ACCT,8620,001,Financial Auditing,0.47,0.53,0.0,0.0,0.0,0.0,0.0,0.0,Nancy Harp,,ACCT-8620,2019
ACCT,8620,002,Financial Auditing,0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,Nancy Harp,,ACCT-8620,2019
ACCT,8710,001,Corporate Taxation,0.3,0.61,0.09,0.0,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-8710,2019
ACCT,8710,002,Corporate Taxation,0.49,0.44,0.08,0.0,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-8710,2019
ACCT,8710,003,Corporate Taxation,0.46,0.43,0.11,0.0,0.0,0.0,0.0,0.0,Derek Dalton,,ACCT-8710,2019
ACCT,8730,001,Intl/Spec Tax Topic,0.48,0.39,0.13,0.0,0.0,0.0,0.0,0.0,Kath Kisska-Schulze,,ACCT-8730,2019
ACCT,8740,001,Tax Aspects of Finan Planning,0.41,0.59,0.0,0.0,0.0,0.0,0.0,0.0,Judson Jahn,,ACCT-8740,2019
AGED,1000,001,Orientation & Field Experience,0.72,0.17,0.0,0.0,0.06,0.0,0.0,0.06,Philip Fravel,,AGED-1000,2019
AGED,2030,001,Teaching Agriscience,0.38,0.54,0.0,0.0,0.0,0.0,0.0,0.08,Catheri DiBenedetto,,AGED-2030,2019
AGED,8890,001,Intro to Res in Ed,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Alex Byrd,,AGED-8890,2019
AGM,2050,001,Prin of Fabrication,0.29,0.42,0.11,0.05,0.08,0.0,0.0,0.05,Hunter Massey,,AGM-2050,2019
AGM,2060,001,Machinery Mgt,0.28,0.48,0.12,0.04,0.04,0.0,0.0,0.04,Hunter Massey,,AGM-2060,2019
