Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch History I,0.35,0.46,0.15,0.01,0.02,0.0,0.0,0.01,Beth Lauritis,,AAH-1010,2019
AAH,2050,001,Art History and Theory I,0.75,0.2,0.0,0.0,0.0,0.0,0.0,0.05,Beth Lauritis,,AAH-2050,2019
AAH,3050,001,Contemporary Art History,0.81,0.14,0.0,0.05,0.0,0.0,0.0,0.0,Anatole Upart,,AAH-3050,2019
ACCT,2010,001,Financial Accounting Concepts,0.43,0.29,0.1,0.04,0.04,0.0,0.0,0.1,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,002,Financial Accounting Concepts,0.42,0.32,0.16,0.02,0.04,0.0,0.0,0.04,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,003,Financial Accounting Concepts,0.33,0.27,0.22,0.04,0.02,0.0,0.0,0.11,Julie Grant,,ACCT-2010,2019
ACCT,2010,004,Financial Accounting Concepts,0.38,0.24,0.2,0.07,0.02,0.0,0.0,0.09,Julie Grant,,ACCT-2010,2019
ACCT,2010,005,Financial Accounting Concepts,0.5,0.35,0.1,0.0,0.0,0.0,0.0,0.04,Lydia Schleifer,,ACCT-2010,2019
ACCT,2010,006,Financial Accounting Concepts,0.4,0.31,0.13,0.07,0.02,0.0,0.0,0.07,Michael McGuigan,,ACCT-2010,2019
ACCT,2010,007,Financial Accounting Concepts,0.16,0.49,0.27,0.0,0.06,0.0,0.0,0.02,Carl Hollingsworth,,ACCT-2010,2019
ACCT,2010,008,Financial Accounting Concepts,0.22,0.31,0.27,0.1,0.04,0.0,0.0,0.06,Carl Hollingsworth,,ACCT-2010,2019
ACCT,2010,009,Financial Accounting Concepts,0.11,0.39,0.3,0.07,0.07,0.0,0.0,0.07,Michael McGuigan,,ACCT-2010,2019
ACCT,2010,010,Financial Accounting Concepts,0.37,0.33,0.14,0.06,0.04,0.0,0.0,0.06,Charles Tegen,,ACCT-2010,2019
ACCT,2010,011,Financial Accounting Concepts,0.33,0.28,0.14,0.03,0.08,0.0,0.0,0.14,Lisa Birtwistle,,ACCT-2010,2019
ACCT,2010,012,Financial Accounting Concepts,0.12,0.35,0.19,0.07,0.12,0.0,0.0,0.16,Lisa Birtwistle,,ACCT-2010,2019
ACCT,2010,013,Financial Accounting Concepts,0.24,0.24,0.37,0.1,0.0,0.0,0.0,0.05,Lisa Birtwistle,,ACCT-2010,2019
ACCT,2010,014,Financial Accounting Concepts,0.38,0.45,0.1,0.03,0.0,0.0,0.0,0.03,Annieka Philo,,ACCT-2010,2019
ACCT,2010,100,Fin Accounting Concepts (HON),0.63,0.26,0.11,0.0,0.0,0.0,0.0,0.0,Mary Prater,True,ACCT-2010,2019
ACCT,2010,111,Fin Accounting Concepts (HON),0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,Lisa Birtwistle,True,ACCT-2010,2019
ACCT,2010,400,Financial Accounting Concepts,0.14,0.22,0.21,0.1,0.07,0.0,0.0,0.26,Jeffrey McMillan,,ACCT-2010,2019
ACCT,2010,401,Financial Accounting Concepts,0.33,0.43,0.16,0.04,0.02,0.0,0.0,0.02,Emily McCorkle,,ACCT-2010,2019
ACCT,2020,001,Managerial Accounting Concepts,0.31,0.23,0.15,0.03,0.0,0.0,0.0,0.28,Henry Anderson,,ACCT-2020,2019
ACCT,2020,002,Managerial Accounting Concepts,0.27,0.33,0.15,0.06,0.12,0.0,0.0,0.06,Henry Anderson,,ACCT-2020,2019
ACCT,2020,003,Managerial Accounting Concepts,0.18,0.46,0.23,0.0,0.03,0.0,0.0,0.1,Henry Anderson,,ACCT-2020,2019
ACCT,2020,004,Managerial Accounting Concepts,0.26,0.33,0.23,0.0,0.1,0.0,0.0,0.08,Henry Anderson,,ACCT-2020,2019
ACCT,2020,005,Managerial Accounting Concepts,0.21,0.3,0.21,0.09,0.06,0.0,0.0,0.13,Brian Carver,,ACCT-2020,2019
ACCT,2020,006,Managerial Accounting Concepts,0.17,0.15,0.37,0.09,0.04,0.0,0.0,0.17,Brian Carver,,ACCT-2020,2019
ACCT,2020,400,Managerial Accounting Concepts,0.3,0.29,0.16,0.08,0.03,0.0,0.0,0.13,Henry Anderson,,ACCT-2020,2019
ACCT,2020,402,Managerial Accounting Concepts,0.25,0.23,0.3,0.12,0.04,0.0,0.0,0.05,Emily McCorkle,,ACCT-2020,2019
ACCT,2900,001,Special Topics - Soft Skills,0.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,Michael Mendonca,,ACCT-2900,2019
ACCT,3030,001,Cost Accounting,0.38,0.36,0.21,0.0,0.03,0.0,0.0,0.03,Daniel Way,,ACCT-3030,2019
ACCT,3030,002,Cost Accounting,0.25,0.39,0.31,0.03,0.0,0.0,0.0,0.03,Daniel Way,,ACCT-3030,2019
ACCT,3030,003,Cost Accounting,0.32,0.43,0.14,0.03,0.05,0.0,0.0,0.03,Jace Garrett,,ACCT-3030,2019
ACCT,3030,004,Cost Accounting,0.38,0.27,0.19,0.03,0.03,0.0,0.0,0.11,Jace Garrett,,ACCT-3030,2019
ACCT,3030,005,Cost Accounting,0.55,0.26,0.16,0.0,0.03,0.0,0.0,0.0,Sarah Martin,,ACCT-3030,2019
ACCT,3110,001,Intermediate Financial Acct I,0.17,0.29,0.33,0.0,0.08,0.0,0.0,0.13,Annieka Philo,,ACCT-3110,2019
ACCT,3110,002,Intermediate Financial Acct I,0.16,0.31,0.41,0.06,0.03,0.0,0.0,0.03,Amy Donnelly,,ACCT-3110,2019
ACCT,3110,003,Intermediate Financial Acct I,0.17,0.39,0.11,0.11,0.11,0.0,0.0,0.11,Annieka Philo,,ACCT-3110,2019
ACCT,3110,004,Intermediate Financial Acct I,0.19,0.32,0.39,0.03,0.03,0.0,0.0,0.03,Amy Donnelly,,ACCT-3110,2019
ACCT,3110,005,Intermediate Financial Acct I,0.19,0.52,0.19,0.0,0.0,0.0,0.0,0.1,J Madray,,ACCT-3110,2019
ACCT,3110,006,Intermediate Financial Acct I,0.16,0.29,0.26,0.06,0.06,0.0,0.0,0.16,Amy Donnelly,,ACCT-3110,2019
ACCT,3110,007,Intermediate Financial Acct I,0.32,0.42,0.13,0.03,0.06,0.0,0.0,0.03,J Madray,,ACCT-3110,2019
ACCT,3110,008,Intermediate Financial Acct I,0.11,0.26,0.26,0.11,0.21,0.0,0.0,0.05,Erin Hawkins,,ACCT-3110,2019
ACCT,3110,100,Intermediate Fin Acct I (HON),0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,Annieka Philo,True,ACCT-3110,2019
ACCT,3120,001,Intermediate Financial Acct II,0.44,0.17,0.28,0.0,0.06,0.0,0.0,0.06,Terry Knause,,ACCT-3120,2019
ACCT,3120,002,Intermediate Financial Acct II,0.0,0.39,0.39,0.11,0.11,0.0,0.0,0.0,J Madray,,ACCT-3120,2019
