Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch History I,0.4,0.45,0.1,0.0,0.01,0.0,0.0,0.05,Beth Lauritis,,AAH-1010,2017
AAH,1010,002,Surv of Art & Arch I (HON),0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.13,Beth Lauritis,True,AAH-1010,2017
AAH,2050,001,Art History and Theory I,0.79,0.15,0.0,0.0,0.06,0.0,0.0,0.0,Beth Lauritis,,AAH-2050,2017
AAH,3050,001,Contemporary Art History,0.84,0.16,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-3050,2017
ACCT,2010,001,Financial Accounting Concepts,0.18,0.35,0.2,0.12,0.08,0.0,0.0,0.06,Emily McCorkle,,ACCT-2010,2017
ACCT,2010,002,Financial Accounting Concepts,0.21,0.44,0.25,0.04,0.04,0.0,0.0,0.02,Emily McCorkle,,ACCT-2010,2017
ACCT,2010,003,Financial Accounting Concepts,0.3,0.43,0.11,0.04,0.04,0.0,0.0,0.09,Lydia Schleifer,,ACCT-2010,2017
ACCT,2010,004,Financial Accounting Concepts,0.28,0.33,0.22,0.09,0.0,0.0,0.0,0.09,Emily McCorkle,,ACCT-2010,2017
ACCT,2010,005,Financial Accounting Concepts,0.34,0.24,0.28,0.08,0.04,0.0,0.0,0.02,Annieka Philo,,ACCT-2010,2017
ACCT,2010,006,Financial Accounting Concepts,0.33,0.31,0.13,0.1,0.04,0.0,0.0,0.08,Lydia Schleifer,,ACCT-2010,2017
ACCT,2010,007,Financial Accounting Concepts,0.24,0.37,0.2,0.1,0.08,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2017
ACCT,2010,008,Financial Accounting Concepts,0.24,0.39,0.12,0.06,0.1,0.0,0.0,0.08,Lydia Schleifer,,ACCT-2010,2017
ACCT,2010,009,Financial Accounting Concepts,0.21,0.56,0.13,0.02,0.08,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2017
ACCT,2010,010,Financial Accounting Concepts,0.36,0.3,0.22,0.02,0.04,0.0,0.0,0.06,Annieka Philo,,ACCT-2010,2017
ACCT,2010,011,Financial Accounting Concepts,0.29,0.43,0.16,0.08,0.02,0.0,0.0,0.02,Rebecca Trax,,ACCT-2010,2017
ACCT,2010,012,Financial Accounting Concepts,0.3,0.26,0.23,0.09,0.06,0.0,0.0,0.06,Rebecca Trax,,ACCT-2010,2017
ACCT,2010,013,Financial Accounting Concepts,0.22,0.35,0.17,0.13,0.09,0.0,0.0,0.04,Charles Tegen,,ACCT-2010,2017
ACCT,2010,014,Financial Accounting Concepts,0.27,0.41,0.18,0.04,0.08,0.0,0.0,0.02,Lisa Birtwistle,,ACCT-2010,2017
ACCT,2010,100,Fin Accounting Concepts (HON),0.74,0.11,0.11,0.0,0.05,0.0,0.0,0.0,Lisa Birtwistle,True,ACCT-2010,2017
ACCT,2010,400,Financial Accounting Concepts,0.29,0.34,0.19,0.1,0.05,0.0,0.0,0.02,Emily McCorkle,,ACCT-2010,2017
ACCT,2020,001,Managerial Accounting Concepts,0.36,0.22,0.22,0.02,0.0,0.0,0.0,0.18,Henry Anderson,,ACCT-2020,2017
ACCT,2020,002,Managerial Accounting Concepts,0.36,0.3,0.1,0.0,0.06,0.0,0.0,0.18,Henry Anderson,,ACCT-2020,2017
ACCT,2020,003,Managerial Accounting Concepts,0.28,0.28,0.13,0.02,0.06,0.0,0.0,0.23,Henry Anderson,,ACCT-2020,2017
ACCT,2020,004,Managerial Accounting Concepts,0.29,0.31,0.18,0.07,0.04,0.0,0.0,0.11,Phebia Davis-Culler,,ACCT-2020,2017
ACCT,2020,005,Managerial Accounting Concepts,0.28,0.15,0.2,0.22,0.11,0.0,0.0,0.04,Phebia Davis-Culler,,ACCT-2020,2017
ACCT,2020,006,Managerial Accounting Concepts,0.21,0.09,0.38,0.09,0.15,0.0,0.0,0.09,Phebia Davis-Culler,,ACCT-2020,2017
ACCT,2020,007,Managerial Accounting Concepts,0.09,0.27,0.24,0.11,0.07,0.0,0.0,0.22,Brian Carver,,ACCT-2020,2017
ACCT,2020,008,Managerial Accounting Concepts,0.16,0.19,0.23,0.07,0.14,0.0,0.0,0.21,Brian Carver,,ACCT-2020,2017
ACCT,2020,400,Managerial Accounting Concepts,0.35,0.24,0.15,0.03,0.04,0.0,0.0,0.19,Henry Anderson,,ACCT-2020,2017
ACCT,3030,001,Cost Accounting,0.32,0.41,0.18,0.0,0.02,0.0,0.0,0.07,Robin Radtke,,ACCT-3030,2017
ACCT,3030,002,Cost Accounting,0.32,0.32,0.26,0.03,0.08,0.0,0.0,0.0,Robin Radtke,,ACCT-3030,2017
ACCT,3030,003,Cost Accounting,0.23,0.34,0.27,0.09,0.0,0.0,0.0,0.07,Jace Garrett,,ACCT-3030,2017
ACCT,3030,004,Cost Accounting,0.2,0.33,0.16,0.13,0.11,0.0,0.0,0.07,Jace Garrett,,ACCT-3030,2017
ACCT,3110,001,Intermediate Financial Acct I,0.33,0.42,0.18,0.02,0.04,0.0,0.0,0.0,Amy Donnelly,,ACCT-3110,2017
ACCT,3110,002,Intermediate Financial Acct I,0.32,0.28,0.28,0.1,0.02,0.0,0.0,0.0,Amy Donnelly,,ACCT-3110,2017
ACCT,3110,003,Intermediate Financial Acct I,0.53,0.24,0.18,0.04,0.0,0.0,0.0,0.0,Erin Hawkins,,ACCT-3110,2017
