Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch History I,0.5,0.35,0.11,0.0,0.01,0.0,0.0,0.04,Beth Lauritis,,AAH-1010,2015
AAH,2050,001,Art History and Theory I,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,Beth Lauritis,,AAH-2050,2015
AAH,3050,001,Contemporary Art History,0.89,0.06,0.0,0.06,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-3050,2015
ACCT,2010,001,Financial Accounting Concepts,0.11,0.23,0.26,0.11,0.13,0.0,0.0,0.17,Philip Maiberger,,ACCT-2010,2015
ACCT,2010,002,Financial Accounting Concepts,0.13,0.4,0.3,0.06,0.0,0.0,0.0,0.11,Philip Maiberger,,ACCT-2010,2015
ACCT,2010,003,Financial Accounting Concepts,0.41,0.23,0.13,0.05,0.03,0.0,0.0,0.15,Lydia Schleifer,,ACCT-2010,2015
ACCT,2010,004,Financial Accounting Concepts,0.32,0.43,0.14,0.03,0.08,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2015
ACCT,2010,005,Financial Accounting Concepts,0.26,0.24,0.13,0.08,0.11,0.0,0.0,0.18,Lydia Schleifer,,ACCT-2010,2015
ACCT,2010,006,Financial Accounting Concepts,0.2,0.27,0.17,0.03,0.07,0.0,0.0,0.27,The Guffey,,ACCT-2010,2015
ACCT,2010,007,Financial Accounting Concepts,0.33,0.43,0.1,0.12,0.0,0.0,0.0,0.02,Annieka Philo,,ACCT-2010,2015
ACCT,2010,008,Financial Accounting Concepts,0.1,0.36,0.36,0.03,0.1,0.0,0.0,0.05,Philip Maiberger,,ACCT-2010,2015
ACCT,2010,009,Financial Accounting Concepts,0.2,0.28,0.25,0.05,0.15,0.0,0.0,0.08,Lydia Schleifer,,ACCT-2010,2015
ACCT,2010,010,Financial Accounting Concepts,0.41,0.32,0.14,0.05,0.09,0.0,0.0,0.0,Annieka Philo,,ACCT-2010,2015
ACCT,2010,011,Financial Accounting Concepts,0.05,0.45,0.21,0.1,0.1,0.0,0.0,0.1,The Guffey,,ACCT-2010,2015
ACCT,2010,012,Financial Accounting Concepts,0.21,0.37,0.15,0.03,0.09,0.0,0.0,0.16,James Kohlmeyer,,ACCT-2010,2015
ACCT,2010,013,Financial Accounting Concepts,0.13,0.53,0.16,0.0,0.08,0.0,0.0,0.11,Mary Prater,,ACCT-2010,2015
ACCT,2010,014,Financial Accounting Concepts,0.13,0.56,0.17,0.06,0.06,0.0,0.0,0.04,James Kohlmeyer,,ACCT-2010,2015
ACCT,2010,100,Fin Accounting Concepts (HON),0.68,0.32,0.0,0.0,0.0,0.0,0.0,0.0,The Guffey,True,ACCT-2010,2015
