Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,001,Survey of Art & Arch History I,0.38,0.43,0.12,0.02,0.01,0.0,0.0,0.05,Beth Lauritis,,AAH-1010,2013
AAH,2100,400,Intro to Art and Architecture,0.36,0.29,0.14,0.04,0.0,0.0,0.0,0.18,Janet Leblanc,,AAH-2100,2013
AAH,2100,401,Intro to Art and Architecture,0.25,0.25,0.25,0.07,0.07,0.0,0.0,0.11,Janet Leblanc,,AAH-2100,2013
AAH,2100,402,Intro to Art and Architecture,0.46,0.19,0.19,0.08,0.04,0.0,0.0,0.04,Janet Leblanc,,AAH-2100,2013
AAH,2100,403,Intro to Art and Architecture,0.44,0.44,0.04,0.0,0.0,0.0,0.0,0.07,Janet Leblanc,,AAH-2100,2013
AAH,3050,001,Contemp Art History,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-3050,2013
ACCT,2010,001,Fin Acct Concepts,0.05,0.29,0.31,0.07,0.14,0.0,0.0,0.14,Philip Maiberger,,ACCT-2010,2013
ACCT,2010,002,Fin Acct Concepts,0.05,0.38,0.33,0.1,0.07,0.0,0.0,0.07,Philip Maiberger,,ACCT-2010,2013
ACCT,2010,003,Fin Acct Concepts,0.17,0.17,0.24,0.14,0.08,0.0,0.0,0.2,Suzanne Pearse,,ACCT-2010,2013
ACCT,2010,004,Fin Acct Concepts,0.1,0.23,0.3,0.25,0.05,0.0,0.0,0.08,Suzanne Pearse,,ACCT-2010,2013
ACCT,2010,005,Fin Acct Concepts (HON),0.68,0.21,0.05,0.0,0.0,0.0,0.0,0.05,Alan Winters,True,ACCT-2010,2013
ACCT,2010,006,Fin Acct Concepts,0.1,0.33,0.24,0.21,0.07,0.0,0.0,0.05,Philip Maiberger,,ACCT-2010,2013
ACCT,2010,007,Fin Acct Concepts,0.24,0.29,0.27,0.05,0.1,0.0,0.0,0.05,Alan Winters,,ACCT-2010,2013
ACCT,2010,008,Fin Acct Concepts,0.07,0.29,0.41,0.1,0.1,0.0,0.0,0.02,Suzanne Pearse,,ACCT-2010,2013
ACCT,2010,009,Fin Acct Concepts,0.02,0.36,0.26,0.17,0.12,0.0,0.0,0.07,Philip Maiberger,,ACCT-2010,2013
ACCT,2010,010,Fin Acct Concepts,0.09,0.35,0.16,0.14,0.12,0.0,0.0,0.14,Alan Winters,,ACCT-2010,2013
ACCT,2010,011,Fin Acct Concepts,0.04,0.21,0.27,0.17,0.08,0.0,0.0,0.23,The Guffey,,ACCT-2010,2013
ACCT,2010,012,Fin Acct Concepts,0.15,0.28,0.34,0.13,0.02,0.0,0.0,0.09,The Guffey,,ACCT-2010,2013
ACCT,2010,013,Fin Acct Concepts,0.1,0.38,0.24,0.12,0.05,0.0,0.0,0.12,The Guffey,,ACCT-2010,2013
ACCT,2010,014,Fin Acct Concepts,0.11,0.34,0.25,0.04,0.08,0.0,0.0,0.17,Jeffrey McMillan,,ACCT-2010,2013
ACCT,2020,001,Mgr Acct Concepts,0.24,0.33,0.24,0.13,0.02,0.0,0.0,0.04,Annieka Philo,,ACCT-2020,2013
ACCT,2020,002,Mgr Acct Concepts,0.25,0.4,0.17,0.09,0.04,0.0,0.0,0.06,Annieka Philo,,ACCT-2020,2013
ACCT,2020,003,Mgr Acct Concepts,0.12,0.41,0.18,0.14,0.04,0.0,0.0,0.12,Annieka Philo,,ACCT-2020,2013
ACCT,2020,004,Mgr Acct Concepts,0.12,0.2,0.38,0.18,0.08,0.0,0.0,0.04,Annieka Philo,,ACCT-2020,2013
ACCT,2020,006,Mgr Acct Concepts,0.51,0.31,0.13,0.02,0.02,0.0,0.0,0.0,Sarah Martin,,ACCT-2020,2013
ACCT,2020,007,Mgr Acct Concepts,0.13,0.24,0.16,0.13,0.07,0.0,0.0,0.27,Henry Anderson,,ACCT-2020,2013
ACCT,2020,008,Managerial Accounting Concepts,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,Sarah Martin,,ACCT-2020,2013
ACCT,2040,001,Accounting Procedures,0.5,0.21,0.12,0.02,0.06,0.0,0.0,0.1,Jeffrey McMillan,,ACCT-2040,2013
ACCT,2040,002,Accounting Procedures,0.52,0.22,0.1,0.06,0.04,0.0,0.0,0.06,Jeffrey McMillan,,ACCT-2040,2013
ACCT,3030,001,Cost Accounting,0.33,0.33,0.19,0.03,0.11,0.0,0.0,0.0,Sally Widener,,ACCT-3030,2013
ACCT,3030,002,Cost Accounting,0.19,0.38,0.19,0.11,0.03,0.0,0.0,0.11,Sally Widener,,ACCT-3030,2013
ACCT,3030,003,Cost Accounting,0.42,0.08,0.13,0.04,0.13,0.0,0.0,0.21,Henry Anderson,,ACCT-3030,2013
ACCT,3030,005,Cost Accounting,0.45,0.21,0.11,0.05,0.08,0.0,0.0,0.11,Henry Anderson,True,ACCT-3030,2013
ACCT,3110,001,Inter Fin Acct I,0.37,0.27,0.13,0.17,0.07,0.0,0.0,0.0,Terry Knause,,ACCT-3110,2013
ACCT,3110,002,Inter Fin Acct I,0.25,0.42,0.22,0.0,0.0,0.0,0.0,0.11,Terry Knause,,ACCT-3110,2013
ACCT,3110,003,Inter Fin Acct I,0.41,0.33,0.13,0.03,0.05,0.0,0.0,0.05,Terry Knause,,ACCT-3110,2013
ACCT,3110,005,Inter Fin Acct I,0.39,0.3,0.12,0.12,0.06,0.0,0.0,0.0,Terry Knause,,ACCT-3110,2013
ACCT,3120,001,Intermed Financial Acct II,0.09,0.19,0.25,0.19,0.13,0.0,0.0,0.16,Lydia Schleifer,,ACCT-3120,2013
ACCT,3120,002,Intermed Financial Acct II,0.16,0.45,0.16,0.13,0.08,0.0,0.0,0.03,Lydia Schleifer,,ACCT-3120,2013
ACCT,3120,003,Intermed Financial Acct II,0.13,0.33,0.23,0.08,0.03,0.0,0.0,0.21,Lydia Schleifer,,ACCT-3120,2013
ACCT,3120,004,Intermed Financial Acct II,0.4,0.4,0.09,0.02,0.05,0.0,0.0,0.05,Henry Anderson,,ACCT-3120,2013
ACCT,3130,001,Inter Fin Acct III,0.13,0.46,0.29,0.04,0.04,0.0,0.0,0.04,J Madray,,ACCT-3130,2013
ACCT,3130,002,Inter Fin Acct III,0.26,0.39,0.21,0.08,0.0,0.0,0.0,0.05,J Madray,,ACCT-3130,2013
ACCT,3130,003,Inter Fin Acct III,0.4,0.33,0.23,0.05,0.0,0.0,0.0,0.0,J Madray,,ACCT-3130,2013
ACCT,3130,005,Inter Fin Acct III,0.36,0.36,0.23,0.05,0.0,0.0,0.0,0.0,J Madray,,ACCT-3130,2013
ACCT,3220,001,Acct Info System,0.19,0.35,0.35,0.04,0.04,0.0,0.0,0.04,Nancy Harp,,ACCT-3220,2013
ACCT,3220,002,Acct Info System,0.11,0.47,0.26,0.06,0.02,0.0,0.0,0.08,Nancy Harp,,ACCT-3220,2013
ACCT,4040,002,Individual Taxation,0.22,0.41,0.3,0.04,0.0,0.0,0.0,0.02,John Hine,,ACCT-4040,2013
ACCT,4040,003,Individual Taxation,0.25,0.31,0.25,0.19,0.0,0.0,0.0,0.0,John Hine,,ACCT-4040,2013
ACCT,4100,001,Budget and Exec Cont,0.43,0.25,0.23,0.09,0.0,0.0,0.0,0.0,Frances Kennedy,,ACCT-4100,2013
ACCT,4150,001,Auditing,0.19,0.36,0.25,0.14,0.03,0.0,0.0,0.03,Carl Hollingsworth,,ACCT-4150,2013
ACCT,4150,002,Auditing,0.19,0.27,0.27,0.23,0.0,0.0,0.0,0.04,Carl Hollingsworth,,ACCT-4150,2013
ACCT,8510,001,Tax Research,0.03,0.64,0.33,0.0,0.0,0.0,0.0,0.0,Thomas Dickens,,ACCT-8510,2013
ACCT,8510,002,Tax Research,0.14,0.74,0.11,0.0,0.0,0.0,0.0,0.0,Thomas Dickens,,ACCT-8510,2013
ACCT,8530,001,Adv Acct Problems,0.54,0.41,0.03,0.0,0.03,0.0,0.0,0.0,Ralph Welton,,ACCT-8530,2013
ACCT,8530,002,Adv Acct Problems,0.53,0.43,0.03,0.0,0.0,0.0,0.0,0.0,Ralph Welton,,ACCT-8530,2013
ACCT,8540,001,Prof Responsibility,0.94,0.06,0.0,0.0,0.0,0.0,0.0,0.0,Robin Radtke,,ACCT-8540,2013
