Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,001,Survey of Art & Arch Hist II,0.4,0.49,0.09,0.0,0.0,0.0,0.0,0.01,Beth Lauritis,,AAH-1020,2015
AAH,2060,001,Art History and Theory II,0.48,0.29,0.24,0.0,0.0,0.0,0.0,0.0,Andrea Feeser,,AAH-2060,2015
AAH,2100,001,Intro to Art and Architecture,0.39,0.32,0.14,0.04,0.07,0.0,0.0,0.04,Lydia Dorsey,,AAH-2100,2015
AAH,2100,002,Intro to Art and Architecture,0.29,0.36,0.29,0.0,0.04,0.0,0.0,0.04,Lydia Dorsey,,AAH-2100,2015
AAH,2100,003,Intro to Art and Architecture,0.21,0.54,0.11,0.07,0.0,0.0,0.0,0.07,Lydia Dorsey,,AAH-2100,2015
AAH,2100,004,Intro to Art and Architecture,0.22,0.22,0.26,0.11,0.0,0.0,0.0,0.19,Lydia Dorsey,,AAH-2100,2015
ACCT,2010,001,Financial Accounting Concepts,0.19,0.3,0.21,0.12,0.09,0.0,0.0,0.09,Suzanne Pearse,,ACCT-2010,2015
ACCT,2010,002,Financial Accounting Concepts,0.32,0.17,0.13,0.09,0.09,0.0,0.0,0.21,Lydia Schleifer,,ACCT-2010,2015
ACCT,2010,003,Financial Accounting Concepts,0.18,0.32,0.25,0.02,0.09,0.0,0.0,0.14,Suzanne Pearse,,ACCT-2010,2015
ACCT,2010,004,Financial Accounting Concepts,0.12,0.2,0.3,0.16,0.1,0.0,0.0,0.12,Philip Maiberger,,ACCT-2010,2015
ACCT,2010,005,Financial Accounting Concepts,0.12,0.37,0.24,0.04,0.06,0.0,0.0,0.16,Philip Maiberger,,ACCT-2010,2015
ACCT,2010,006,Financial Accounting Concepts,0.29,0.38,0.1,0.05,0.05,0.0,0.0,0.14,Suzanne Pearse,,ACCT-2010,2015
ACCT,2010,007,Financial Accounting Concepts,0.3,0.13,0.22,0.15,0.04,0.0,0.0,0.15,Lydia Schleifer,,ACCT-2010,2015
