Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,001,Survey of Art & Arch Hist II,0.91,0.07,0.01,0.0,0.0,0.0,0.0,0.01,Andrea Feeser,,AAH-1020,2016
AAH,2060,001,Art History and Theory II,0.9,0.07,0.0,0.0,0.0,0.0,0.0,0.03,Andrea Feeser,,AAH-2060,2016
AAH,6320,001,Twentieth Century Art II,0.71,0.14,0.14,0.0,0.0,0.0,0.0,0.0,Beth Lauritis,,AAH-6320,2016
ACCT,2010,001,Financial Accounting Concepts,0.19,0.3,0.32,0.06,0.09,0.0,0.0,0.04,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,002,Financial Accounting Concepts,0.35,0.39,0.14,0.03,0.08,0.0,0.0,0.01,Holly Hawk,,ACCT-2010,2016
ACCT,2010,003,Financial Accounting Concepts,0.19,0.24,0.21,0.14,0.1,0.0,0.0,0.12,Philip Maiberger,,ACCT-2010,2016
ACCT,2010,004,Financial Accounting Concepts,0.25,0.24,0.28,0.08,0.06,0.0,0.0,0.08,Holly Hawk,,ACCT-2010,2016
ACCT,2010,005,Financial Accounting Concepts,0.3,0.3,0.25,0.05,0.05,0.0,0.0,0.05,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,006,Financial Accounting Concepts,0.26,0.26,0.24,0.05,0.07,0.0,0.0,0.12,Lydia Schleifer,,ACCT-2010,2016
ACCT,2010,007,Financial Accounting Concepts,0.11,0.25,0.25,0.07,0.21,0.0,0.0,0.12,Tonya Smalls,,ACCT-2010,2016
ACCT,2010,008,Financial Accounting Concepts,0.35,0.3,0.09,0.07,0.05,0.0,0.0,0.14,Mary Prater,,ACCT-2010,2016
ACCT,2010,009,Financial Accounting Concepts,0.15,0.27,0.31,0.07,0.02,0.0,0.0,0.18,Henry Anderson,,ACCT-2010,2016
ACCT,2010,010,Financial Accounting Concepts,0.27,0.32,0.02,0.07,0.05,0.0,0.0,0.27,Mary Prater,,ACCT-2010,2016
ACCT,2010,011,Financial Accounting Concepts,0.11,0.11,0.32,0.11,0.25,0.0,0.0,0.09,Henry Anderson,,ACCT-2010,2016
ACCT,2010,012,Financial Accounting Concepts,0.14,0.37,0.19,0.11,0.14,0.0,0.0,0.05,Tonya Smalls,,ACCT-2010,2016
ACCT,2010,401,Financial Accounting Concepts,0.14,0.43,0.24,0.08,0.04,0.0,0.0,0.07,Jeffrey McMillan,,ACCT-2010,2016
ACCT,2020,001,Managerial Accounting Concepts,0.26,0.34,0.17,0.08,0.06,0.0,0.0,0.09,Henry Anderson,,ACCT-2020,2016
ACCT,2020,002,Managerial Accounting Concepts,0.18,0.39,0.23,0.09,0.02,0.0,0.0,0.09,Henry Anderson,,ACCT-2020,2016
ACCT,2020,003,Managerial Accounting Concepts,0.37,0.24,0.18,0.06,0.08,0.0,0.0,0.06,Jace Garrett,,ACCT-2020,2016
ACCT,2020,004,Managerial Accounting Concepts,0.31,0.31,0.19,0.08,0.05,0.0,0.0,0.06,Jace Garrett,,ACCT-2020,2016
ACCT,2020,005,Managerial Accounting Concepts,0.32,0.29,0.19,0.14,0.0,0.0,0.0,0.07,Derek Dalton,,ACCT-2020,2016
ACCT,2020,401,Managerial Accounting Concepts,0.26,0.21,0.2,0.08,0.1,0.0,0.0,0.16,Henry Anderson,,ACCT-2020,2016
ACCT,3030,001,Cost Accounting,0.22,0.59,0.1,0.0,0.02,0.0,0.0,0.08,Robin Radtke,,ACCT-3030,2016
ACCT,3030,002,Cost Accounting,0.43,0.28,0.17,0.02,0.02,0.0,0.0,0.09,Robin Radtke,,ACCT-3030,2016
ACCT,3030,003,Cost Accounting,0.43,0.33,0.04,0.06,0.02,0.0,0.0,0.12,Robin Radtke,,ACCT-3030,2016
ACCT,3030,005,Cost Accounting,0.15,0.23,0.23,0.08,0.08,0.0,0.0,0.23,Tonya Smalls,,ACCT-3030,2016
ACCT,3110,001,Intermediate Financial Acct I,0.38,0.46,0.08,0.03,0.03,0.0,0.0,0.03,Terry Knause,,ACCT-3110,2016
ACCT,3110,002,Intermediate Financial Acct I,0.06,0.12,0.24,0.15,0.15,0.0,0.0,0.29,Brian Carver,,ACCT-3110,2016
ACCT,3110,003,Intermediate Financial Acct I,0.5,0.27,0.14,0.05,0.02,0.0,0.0,0.02,Terry Knause,,ACCT-3110,2016
