ANTH,2010,002,Intro Anthropology,6%,40%,27%,6%,2%,0%,0%,19%,"Coggeshall, John M"
ANTH,2010,003,Intro Anthropology,22%,42%,18%,5%,7%,0%,0%,5%,"Weisensee, Katherine"
ANTH,2010,004,Intro Anthropology,52%,33%,4%,2%,0%,0%,0%,8%,"Rapaport, Lisa G"
ANTH,3010,001,Cultural Anth,15%,31%,31%,19%,4%,0%,0%,0%,"Coggeshall, John M"
ANTH,3510,001,Biological Anthropology,63%,19%,0%,0%,19%,0%,0%,0%,"Rapaport, Lisa G"
ANTH,3530,001,Forensic Anthropology,42%,26%,26%,0%,0%,0%,0%,5%,"Weisensee, Katherine"
ANTH,4660,001,Evolution of Human Behav,40%,40%,10%,0%,0%,0%,0%,10%,"Rapaport, Lisa G"
APEC,2020,001,Agric Economics,32%,44%,20%,0%,1%,0%,0%,4%,"Smathers, Webb M"
APEC,2020,002,Agric Economics,19%,19%,32%,16%,3%,0%,0%,10%,"Willis, David Brian"
APEC,2050,001,Agric and Society,36%,54%,6%,0%,2%,0%,0%,2%,"Hughes, David Wheele"
APEC,2570,001,Nat Res Env Econ,22%,29%,21%,21%,3%,0%,0%,3%,"Willis, David Brian"
APEC,3020,001,Econ of Farm Mgt,26%,56%,15%,0%,0%,0%,0%,3%,"Smathers, Webb M"
APEC,3190,001,Agribusiness Mgt,10%,43%,38%,0%,5%,0%,0%,5%,"Vassalos, Michael"
APEC,3510,001,Prin of Advertising,42%,42%,9%,0%,4%,0%,0%,2%,"Smathers, Webb M"
APEC,4090,001,Commod Futures Mkt,25%,25%,33%,8%,8%,0%,0%,0%,"Hughes, David Wheele"
APEC,8060,001,Econometrics I,67%,0%,33%,0%,0%,0%,0%,0%,"Wilson, Paul Wayne"
ARAB,1010,001,Elementary Arabic I,42%,33%,17%,8%,0%,0%,0%,0%,"Abou-Samra, Sulafa"
ARAB,2010,001,Inter Arabic I,64%,18%,9%,0%,0%,0%,0%,9%,"Abou-Samra, Sulafa"
ARCH,1010,001,Intro to Arch,43%,34%,3%,0%,3%,0%,0%,17%,"Hambright-Belue, Sal"
ARCH,2040,001,Hist of Modern Arch,23%,41%,33%,2%,0%,0%,0%,2%,"Bruhns, Robert A."
ARCH,2510,001,Arch Foundations I,25%,75%,0%,0%,0%,0%,0%,0%,"Lee, David M"
ARCH,2510,002,Arch Foundations I,23%,54%,23%,0%,0%,0%,0%,0%,"Silance, Robert T"
ARCH,2510,003,Arch Foundations I,8%,67%,17%,0%,0%,0%,0%,8%,"Hogan, Robert John"
ARCH,2510,004,Arch Foundations I,64%,27%,9%,0%,0%,0%,0%,0%,"Skinner, Martha L."
ARCH,2510,005,Arch Foundations I,17%,75%,8%,0%,0%,0%,0%,0%,"Mendez, Clarissa A"
ARCH,2700,001,Structures I,45%,40%,15%,0%,0%,0%,0%,0%,"Albright, Dustin Gra"
ARCH,3510,001,Studio Clemson,56%,38%,0%,0%,0%,0%,0%,6%,"Jacques, Annemarie H"
ARCH,3510,002,Studio Clemson,47%,53%,0%,0%,0%,0%,0%,0%,"Garland, James B."
ARCH,3510,003,Studio Clemson,60%,30%,10%,0%,0%,0%,0%,0%,"Craig, Lynn G"
ARCH,3510,005,Studio Clemson,80%,20%,0%,0%,0%,0%,0%,0%,"Wilkerson, Julie Poe"
ARCH,3530,001,Studio Genoa,45%,55%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W"
ARCH,4010,001,Arch Portfolio,18%,45%,23%,0%,5%,0%,0%,9%,"Schafer, George J"
ARCH,4140,001,Design Seminar,73%,27%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W"
ARCH,4160,001,Field Studies,73%,18%,0%,9%,0%,0%,0%,0%,"Ault, Nicholas W"
ARCH,4240,001,Product Design,18%,64%,0%,0%,9%,0%,0%,9%,"Silance, Robert T"
ARCH,4520,001,Synthesis Studio,12%,76%,12%,0%,0%,0%,0%,0%,"Hecker, Douglas A."
ARCH,6050,002,American Arch Styles: for MSHP,67%,27%,7%,0%,0%,0%,0%,0%,"Hudgins, Carter Lee"
ARCH,6240,001,Product Design,64%,36%,0%,0%,0%,0%,0%,0%,"Silance, Robert T"
ARCH,6850,001,H/Th: Arch+Health,67%,33%,0%,0%,0%,0%,0%,0%,"Battisto, Dina G."
ARCH,8210,001,Research Methods,82%,18%,0%,0%,0%,0%,0%,0%,"Battisto, Dina G."
ARCH,8410,001,Arch Studio I,55%,27%,9%,0%,0%,0%,0%,9%,"Laurence, Peter L"
ARCH,8410,002,Arch Studio I,60%,40%,0%,0%,0%,0%,0%,0%,"Satoh, Junichi"
ARCH,8510,001,Design Studio III,40%,60%,0%,0%,0%,0%,0%,0%,"Harding, Daniel Nevi"
ARCH,8510,002,Design Studio III,44%,56%,0%,0%,0%,0%,0%,0%,"Albright, Dustin Gra"
ARCH,8510,003,Design Studio III,40%,60%,0%,0%,0%,0%,0%,0%,"Ersoy, Ufuk"
ARCH,8510,004,Design Studio III,44%,44%,11%,0%,0%,0%,0%,0%,"Kleiss, Michael Carl"
ARCH,8570,004,Design Studio V,40%,60%,0%,0%,0%,0%,0%,0%,"Huff, Raymond T"
ARCH,8570,006,Design Studio V,67%,33%,0%,0%,0%,0%,0%,0%,"Ault, Nicholas W"
ARCH,8600,001,History/Theory I,62%,33%,5%,0%,0%,0%,0%,0%,"Laurence, Peter L"
ARCH,8690,001,Topics in H/Th,78%,11%,11%,0%,0%,0%,0%,0%,"Kahera, Akel I"
ARCH,8720,001,Production & Assemb,80%,16%,5%,0%,0%,0%,0%,0%,"Harding, Daniel Nevi"
ARCH,8810,001,Pro Practice Survey,31%,67%,2%,0%,0%,0%,0%,0%,"Schwennsen, Katherin"
ARCH,8860,001,Health Facilities,79%,21%,0%,0%,0%,0%,0%,0%,"Allison, David J"
