AAH,1020,001,Survey of Art & Arch Hist II,91%,7%,1%,0%,0%,0%,0%,1%,"Feeser, Andrea V"
AAH,2060,001,Art History and Theory II,90%,7%,0%,0%,0%,0%,0%,3%,"Feeser, Andrea V"
AAH,6320,001,Twentieth Century Art II,71%,14%,14%,0%,0%,0%,0%,0%,"Lauritis, Beth Ann"
ACCT,2010,001,Financial Accounting Concepts,19%,30%,32%,6%,9%,0%,0%,4%,"Schleifer, Lydia Lan"
ACCT,2010,002,Financial Accounting Concepts,35%,39%,14%,3%,8%,0%,0%,1%,"Hawk, Holly Rhiannio"
ACCT,2010,003,Financial Accounting Concepts,19%,24%,21%,14%,10%,0%,0%,12%,"Maiberger, Philip A"
ACCT,2010,004,Financial Accounting Concepts,25%,24%,28%,8%,6%,0%,0%,8%,"Hawk, Holly Rhiannio"
ACCT,2010,005,Financial Accounting Concepts,30%,30%,25%,5%,5%,0%,0%,5%,"Schleifer, Lydia Lan"
ACCT,2010,006,Financial Accounting Concepts,26%,26%,24%,5%,7%,0%,0%,12%,"Schleifer, Lydia Lan"
ACCT,2010,007,Financial Accounting Concepts,11%,25%,25%,7%,21%,0%,0%,12%,"Smalls, Tonya Dionne"
ACCT,2010,008,Financial Accounting Concepts,35%,30%,9%,7%,5%,0%,0%,14%,"Prater, Mary Ann M"
ACCT,2010,009,Financial Accounting Concepts,15%,27%,31%,7%,2%,0%,0%,18%,"Anderson, Henry K."
ACCT,2010,010,Financial Accounting Concepts,27%,32%,2%,7%,5%,0%,0%,27%,"Prater, Mary Ann M"
ACCT,2010,011,Financial Accounting Concepts,11%,11%,32%,11%,25%,0%,0%,9%,"Anderson, Henry K."
ACCT,2010,012,Financial Accounting Concepts,14%,37%,19%,11%,14%,0%,0%,5%,"Smalls, Tonya Dionne"
ACCT,2010,401,Financial Accounting Concepts,14%,43%,24%,8%,4%,0%,0%,7%,"McMillan, Jeffrey J"
ACCT,2020,001,Managerial Accounting Concepts,26%,34%,17%,8%,6%,0%,0%,9%,"Anderson, Henry K."
ACCT,2020,002,Managerial Accounting Concepts,18%,39%,23%,9%,2%,0%,0%,9%,"Anderson, Henry K."
ACCT,2020,003,Managerial Accounting Concepts,37%,24%,18%,6%,8%,0%,0%,6%,"Garrett, Jace B"
ACCT,2020,004,Managerial Accounting Concepts,31%,31%,19%,8%,5%,0%,0%,6%,"Garrett, Jace B"
ACCT,2020,005,Managerial Accounting Concepts,32%,29%,19%,14%,0%,0%,0%,7%,"Dalton, Derek W."
ACCT,2020,401,Managerial Accounting Concepts,26%,21%,20%,8%,10%,0%,0%,16%,"Anderson, Henry K."
ACCT,3030,001,Cost Accounting,22%,59%,10%,0%,2%,0%,0%,8%,"Radtke, Robin R"
ACCT,3030,002,Cost Accounting,43%,28%,17%,2%,2%,0%,0%,9%,"Radtke, Robin R"
ACCT,3030,003,Cost Accounting,43%,33%,4%,6%,2%,0%,0%,12%,"Radtke, Robin R"
ACCT,3030,005,Cost Accounting,15%,23%,23%,8%,8%,0%,0%,23%,"Smalls, Tonya Dionne"
ACCT,3110,001,Intermediate Financial Acct I,38%,46%,8%,3%,3%,0%,0%,3%,"Knause, Terry Daniel"
ACCT,3110,002,Intermediate Financial Acct I,6%,12%,24%,15%,15%,0%,0%,29%,"Carver, Brian Todd"
ACCT,3110,003,Intermediate Financial Acct I,50%,27%,14%,5%,2%,0%,0%,2%,"Knause, Terry Daniel"
ACCT,3110,004,Intermediate Financial Acct I,28%,37%,22%,2%,4%,2%,0%,4%,"Knause, Terry Daniel"
ACCT,3110,005,Intermediate Financial Acct I,50%,25%,16%,9%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,001,Intermediate Financial Acct II,16%,32%,26%,18%,8%,0%,0%,0%,"Guffey, The Estate o"
ACCT,3120,002,Intermediate Financial Acct II,11%,23%,40%,14%,6%,0%,0%,6%,"Guffey, The Estate o"
ACCT,3120,003,Intermediate Financial Acct II,3%,18%,44%,21%,13%,0%,0%,3%,"Carver, Brian Todd"
ACCT,3120,004,Intermediate Financial Acct II,3%,17%,33%,23%,17%,0%,0%,7%,"Carver, Brian Todd"
ACCT,3120,005,Intermediate Financial Acct II,24%,36%,31%,4%,5%,0%,0%,0%,"Vinson, Jeremy Micha"
ACCT,3130,001,Intermediate Fin Acct III,11%,40%,20%,14%,3%,0%,0%,11%,"Madray, J Russell"
ACCT,3130,002,Intermediate Fin Acct III,26%,45%,21%,8%,0%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,003,Intermediate Fin Acct III,38%,38%,19%,3%,3%,0%,0%,0%,"Madray, J Russell"
ACCT,3130,004,Intermediate Fin Acct III,33%,36%,26%,5%,0%,0%,0%,0%,"Madray, J Russell"
ACCT,3220,001,Accounting Information Systems,10%,41%,29%,7%,5%,0%,0%,7%,"Maiberger, Philip A"
ACCT,3220,002,Accounting Information Systems,21%,48%,17%,5%,0%,0%,0%,10%,"Maiberger, Philip A"
ACCT,3220,003,Accounting Information Systems,14%,25%,25%,7%,0%,0%,0%,29%,"Maiberger, Philip A"
ACCT,4040,001,Individual Taxation,69%,16%,10%,5%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,002,Individual Taxation,71%,23%,4%,2%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4100,001,Reporting and Mgmt Control Sys,34%,63%,3%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannio"
ACCT,4100,002,Reporting and Mgmt Control Sys,32%,59%,9%,0%,0%,0%,0%,0%,"Hawk, Holly Rhiannio"
ACCT,4150,001,Auditing,26%,38%,31%,5%,0%,0%,0%,0%,"Harp, Nancy Lee"
ACCT,4150,002,Auditing,24%,30%,30%,12%,0%,0%,0%,3%,"Harp, Nancy Lee"
ACCT,8520,001,Fin Acct Theory/Res,25%,75%,0%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8520,002,Fin Acct Theory/Res,47%,50%,3%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8520,003,Fin Acct Theory/Res,20%,63%,17%,0%,0%,0%,0%,0%,"Welton, Ralph E"
ACCT,8540,001,Prof Responsibility,60%,40%,0%,0%,0%,0%,0%,0%,"Pearse, Suzanne"
