AAH,1010,001,Survey of Art & Arch History I,40%,45%,10%,0%,1%,0%,0%,5%,"Lauritis, Beth Ann",
AAH,1010,002,Surv of Art & Arch I (HON),87%,0%,0%,0%,0%,0%,0%,13%,"Lauritis, Beth Ann",H
AAH,2050,001,Art History and Theory I,79%,15%,0%,0%,6%,0%,0%,0%,"Lauritis, Beth Ann",
AAH,3050,001,Contemporary Art History,84%,16%,0%,0%,0%,0%,0%,0%,"Feeser, Andrea V",
ACCT,2010,001,Financial Accounting Concepts,18%,35%,20%,12%,8%,0%,0%,6%,"McCorkle, Emily Suza",
ACCT,2010,002,Financial Accounting Concepts,21%,44%,25%,4%,4%,0%,0%,2%,"McCorkle, Emily Suza",
ACCT,2010,003,Financial Accounting Concepts,30%,43%,11%,4%,4%,0%,0%,9%,"Schleifer, Lydia Lan",
ACCT,2010,004,Financial Accounting Concepts,28%,33%,22%,9%,0%,0%,0%,9%,"McCorkle, Emily Suza",
ACCT,2010,005,Financial Accounting Concepts,34%,24%,28%,8%,4%,0%,0%,2%,"Philo, Annieka C",
ACCT,2010,006,Financial Accounting Concepts,33%,31%,13%,10%,4%,0%,0%,8%,"Schleifer, Lydia Lan",
ACCT,2010,007,Financial Accounting Concepts,24%,37%,20%,10%,8%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,008,Financial Accounting Concepts,24%,39%,12%,6%,10%,0%,0%,8%,"Schleifer, Lydia Lan",
ACCT,2010,009,Financial Accounting Concepts,21%,56%,13%,2%,8%,0%,0%,0%,"Philo, Annieka C",
ACCT,2010,010,Financial Accounting Concepts,36%,30%,22%,2%,4%,0%,0%,6%,"Philo, Annieka C",
ACCT,2010,011,Financial Accounting Concepts,29%,43%,16%,8%,2%,0%,0%,2%,"Trax, Rebecca Pennel",
ACCT,2010,012,Financial Accounting Concepts,30%,26%,23%,9%,6%,0%,0%,6%,"Trax, Rebecca Pennel",
ACCT,2010,013,Financial Accounting Concepts,22%,35%,17%,13%,9%,0%,0%,4%,"Tegen, Charles A",
ACCT,2010,014,Financial Accounting Concepts,27%,41%,18%,4%,8%,0%,0%,2%,"Birtwistle, Lisa Whe",
ACCT,2010,100,Fin Accounting Concepts (HON),74%,11%,11%,0%,5%,0%,0%,0%,"Birtwistle, Lisa Whe",H
ACCT,2010,400,Financial Accounting Concepts,29%,34%,19%,10%,5%,0%,0%,2%,"McCorkle, Emily Suza",
ACCT,2020,001,Managerial Accounting Concepts,36%,22%,22%,2%,0%,0%,0%,18%,"Anderson, Henry K.",
ACCT,2020,002,Managerial Accounting Concepts,36%,30%,10%,0%,6%,0%,0%,18%,"Anderson, Henry K.",
ACCT,2020,003,Managerial Accounting Concepts,28%,28%,13%,2%,6%,0%,0%,23%,"Anderson, Henry K.",
ACCT,2020,004,Managerial Accounting Concepts,29%,31%,18%,7%,4%,0%,0%,11%,"Davis-Culler, Phebia",
ACCT,2020,005,Managerial Accounting Concepts,28%,15%,20%,22%,11%,0%,0%,4%,"Davis-Culler, Phebia",
ACCT,2020,006,Managerial Accounting Concepts,21%,9%,38%,9%,15%,0%,0%,9%,"Davis-Culler, Phebia"
ACCT,2020,007,Managerial Accounting Concepts,9%,27%,24%,11%,7%,0%,0%,22%,"Carver, Brian Todd"
ACCT,2020,008,Managerial Accounting Concepts,16%,19%,23%,7%,14%,0%,0%,21%,"Carver, Brian Todd"
ACCT,2020,400,Managerial Accounting Concepts,35%,24%,15%,3%,4%,0%,0%,19%,"Anderson, Henry K."
ACCT,3030,001,Cost Accounting,32%,41%,18%,0%,2%,0%,0%,7%,"Radtke, Robin R"
ACCT,3030,002,Cost Accounting,32%,32%,26%,3%,8%,0%,0%,0%,"Radtke, Robin R"
ACCT,3030,003,Cost Accounting,23%,34%,27%,9%,0%,0%,0%,7%,"Garrett, Jace B"
ACCT,3030,004,Cost Accounting,20%,33%,16%,13%,11%,0%,0%,7%,"Garrett, Jace B"
ACCT,3110,001,Intermediate Financial Acct I,33%,42%,18%,2%,4%,0%,0%,0%,"Donnelly, Amy Meliss"
ACCT,3110,002,Intermediate Financial Acct I,32%,28%,28%,10%,2%,0%,0%,0%,"Donnelly, Amy Meliss"
ACCT,3110,003,Intermediate Financial Acct I,53%,24%,18%,4%,0%,0%,0%,0%,"Hawkins, Erin Michel"
ACCT,3110,004,Intermediate Financial Acct I,28%,33%,33%,4%,2%,0%,0%,0%,"Hawkins, Erin Michel"
ACCT,3110,400,Intermediate Financial Acct I,32%,32%,13%,4%,8%,0%,0%,11%,"Anderson, Henry K."
ACCT,3120,001,Intermediate Financial Acct II,14%,50%,14%,7%,0%,0%,0%,14%,"Knause, Terry Daniel"
ACCT,3120,002,Intermediate Financial Acct II,14%,32%,41%,5%,9%,0%,0%,0%,"Vinson, Jeremy Micha"
ACCT,3120,003,Intermediate Financial Acct II,63%,16%,16%,5%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,004,Intermediate Financial Acct II,18%,43%,30%,8%,0%,0%,0%,3%,"Vinson, Jeremy Micha"
ACCT,3120,005,Intermediate Financial Acct II,45%,33%,20%,3%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3120,006,Intermediate Financial Acct II,43%,43%,10%,5%,0%,0%,0%,0%,"Knause, Terry Daniel"
ACCT,3130,001,Intermediate Fin Acct III,22%,22%,28%,8%,11%,0%,0%,8%,"Madray, J Russell"
ACCT,3130,002,Intermediate Fin Acct III,25%,39%,20%,9%,2%,0%,0%,5%,"Madray, J Russell"
ACCT,3130,003,Intermediate Fin Acct III,37%,29%,20%,10%,0%,0%,0%,5%,"Madray, J Russell"
ACCT,3130,004,Intermediate Fin Acct III,33%,33%,21%,5%,5%,0%,0%,2%,"Madray, J Russell"
ACCT,3220,001,Accounting Information Systems,11%,42%,26%,0%,5%,0%,0%,16%,"Maiberger, Philip A"
ACCT,3220,002,Accounting Information Systems,6%,19%,25%,31%,0%,0%,0%,19%,"Maiberger, Philip A"
ACCT,3220,003,Accounting Information Systems,12%,42%,28%,12%,2%,0%,0%,5%,"Harp, Nancy Lee"
ACCT,3220,004,Accounting Information Systems,17%,36%,24%,7%,10%,0%,0%,7%,"Harp, Nancy Lee"
ACCT,4040,001,Individual Taxation,33%,33%,18%,8%,3%,0%,0%,5%,"Dalton, Derek W."
ACCT,4040,002,Individual Taxation,80%,11%,6%,3%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4040,003,Individual Taxation,72%,21%,8%,0%,0%,0%,0%,0%,"Martin, Sarah L"
ACCT,4080,001,Retire & Estate Plan,32%,42%,16%,5%,0%,0%,0%,5%,"Hine, John M"
ACCT,4100,001,Reporting and Mgmt Control Sys,16%,55%,13%,13%,0%,0%,0%,3%,"Widener, Sally Kathr"
ACCT,4100,002,Reporting and Mgmt Control Sys,38%,41%,21%,0%,0%,0%,0%,0%,"Widener, Sally Kathr"
ACCT,4150,001,Auditing,34%,39%,21%,5%,0%,0%,0%,0%,"Hollingsworth, Carl"
